Ticker,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,BP.L,BP.L,BP.L,BP.L,BP.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-28,2318.729681584305,2333.71178161608,2294.7583215334657,2320.727294921875,10719622,4354.439618140296,4382.749615563577,4345.893111793907,4370.99853515625,4376226,451.9818711506026,455.5761359121516,449.4358980638111,454.4779052734375,34607059.0,610.2354727020183,614.3269699052094,609.5369080576114,612.03173828125,18360919,11293.27517538833,11331.252560933885,11177.344208986113,11227.314453125,2293497
2023-06-29,2320.727484155793,2342.0918532494857,2311.738223403737,2322.72509765625,12445453,4380.080000278087,4388.064610280316,4355.508667750764,4364.05517578125,2842774,455.82577627370824,458.6213529993929,452.9303825503523,454.07855224609375,28849470.0,612.5307251254779,618.5183178655294,611.732391608593,617.5203857421875,71288921,11239.307525580443,11283.2813412594,11129.372986383054,11229.3134765625,2529983
2023-06-30,2331.714379908868,2348.6940948193205,2326.220942731957,2339.704833984375,12447479,4359.247485200892,4390.228452449797,4348.030011378289,4377.40869140625,4139456,458.072192687515,462.6649017944825,456.5246636424958,457.6229248046875,38590046.0,619.0173602376043,624.4062187315485,614.6264948989744,620.4144897460938,22006052,11241.305726764811,11337.248592142603,11173.346197122206,11269.2890625,1408446
2023-07-03,2354.686896189293,2401.131409730248,2347.195845618171,2376.66064453125,16897005,4373.670113723408,4421.21000626388,4361.919030360132,4396.63916015625,4397682,461.9161259825916,473.6974267854422,461.3420563446213,470.0531921386719,58834740.0,621.7117821780059,627.200409468502,620.9134485720874,626.30224609375,21193781,10931.48949164528,11037.426398402858,10323.851384960297,10367.8251953125,4450775
2023-07-04,2374.163112705281,2387.6470008085716,2365.173853969754,2377.658935546875,6393436,4413.732669984467,4416.403149338518,4362.45361328125,4362.45361328125,2540766,469.4541198244791,472.04997099116093,467.20768906696566,469.5040283203125,34711932.0,625.7034960628075,626.901026897349,622.310502183098,623.4082641601562,8538299,10353.83501816517,10657.654115223299,10271.883814353438,10573.7041015625,4015254
2023-07-05,2373.164865050719,2374.822796488868,2317.731089793853,2326.220947265625,15663783,4369.396337428786,4385.421160884299,4347.495972993633,4356.04248046875,3281175,467.7568292540795,468.1561886494701,458.1221429203746,459.07061767578125,34390086.0,619.5162517876457,622.7096467734004,616.3228568018909,620.614013671875,39669655,10635.665615988406,10723.613236192032,10453.773946930909,10613.6787109375,2885595
2023-07-06,2309.7405748457854,2315.733415256196,2261.2984481949657,2261.7978515625,10705039,4359.247914334683,4362.452976850749,4296.7518779443135,4314.9130859375,3948316,457.57296622207144,459.1205256699147,448.6870907801276,449.2362365722656,29972317.0,613.7282194793734,615.7530153540074,606.8424638728583,609.1377563476562,19028428,10531.726545858346,10559.709876972793,10287.871803289601,10321.8515625,1911277
2023-07-07,2253.8071507799664,2297.754642308581,2248.31371433889,2279.776123046875,11206305,4290.8755149974995,4298.353831033817,4258.292259854132,4263.099609375,4451977,450.83364765897835,455.775807153124,447.1894441227809,452.8304748535156,29769711.0,607.0420660877159,613.4987182542059,605.445399139059,608.6387939453125,34212718,10269.88460952955,10301.865565884644,10072.002442082407,10103.9833984375,1800903
2023-07-10,2288.76537815847,2325.7212232345614,2286.7677649111138,2302.249267578125,7398367,4262.565460960508,4284.999921033612,4255.621240761339,4268.97509765625,3058170,453.8289489746094,459.7685173756966,453.4295895762753,453.8289489746094,21957479.0,607.8404214374278,609.6367479554891,605.1460534782201,605.64501953125,19834643,10143.959260652013,10237.903316859038,10103.983066521365,10173.94140625,1255741
2023-07-11,2300.2517321356413,2322.2254785998116,2289.7642622322874,2317.2314453125,8106256,4251.881486322686,4263.633054334784,4217.695461384657,4231.04931640625,4846095,455.37645652917524,460.2686771556517,452.880422488201,459.5198669433594,26070869.0,603.2501249854497,604.7470235586146,596.963163159949,599.6575927734375,33207359,10131.96569129234,10131.96569129234,10014.035926883927,10075.9990234375,1929561
2023-07-12,2323.224385164222,2366.173073282047,2317.730948311942,2349.193359375,13275230,4221.969645343618,4265.236281725228,4215.025912346284,4255.62158203125,5838613,460.9676660263385,473.0983876651008,460.2407934758104,466.0096435546875,67993693.0,600.4557922498554,615.4247746347997,599.2582614772708,614.526611328125,38283911,10221.91131996792,10269.88274579491,10077.997042486948,10241.8994140625,4075139
2023-07-13,2340.703422787041,2367.671202780747,2340.703422787041,2343.200439453125,11571806,4262.030598247438,4262.030598247438,4234.788790497497,4245.47216796875,3162137,465.2607667937288,472.6989607681193,464.76155996240504,464.91131591796875,58290659.0,611.5327413871343,616.2230341527567,608.1398089995103,612.9298706054688,35620549,10289.871799370765,10345.838468054211,10241.900369070667,10323.8515625,1250510
2023-07-14,2332.7134977315554,2353.1890390304193,2298.75406338222,2310.73974609375,11051082,4257.759474109117,4278.057069940362,4247.610188434668,4265.2373046875,2566564,462.6649091823649,466.40896061155297,453.08013142980974,455.7259521484375,53684148.0,610.7344523610184,615.7241129195233,610.4350849092965,611.8321533203125,16280360,10321.853088071484,10547.718579735325,10316.356361504444,10317.85546875,2472036
2023-07-17,2280.27568226092,2334.211243733583,2277.7786655260743,2305.245849609375,8690844,4275.385750276806,4306.366721610627,4274.317070896603,4294.0810546875,2182682,449.33612500665555,461.76638918425715,448.3876501644287,451.6824035644531,37740332.0,613.2293206991849,619.1171448872144,611.8321912925163,616.622314453125,28427958,10293.870174632353,10343.84041819853,10189.932068014707,10193.9296875,1161172
2023-07-18,2296.256558631593,2322.7249356667116,2294.258945270452,2319.728515625,10886884,4272.180505151288,4293.012679673732,4270.043634240897,4289.8076171875,2335646,448.5873042659487,458.9208931002568,448.47548240882423,457.8226318359375,34338027.0,614.3270518078436,623.1089040930091,612.8301534740926,622.4103393554688,19072737,10255.891573823566,10303.863001960724,10199.924907663546,10273.880859375,2368022
2023-07-19,2333.711770732317,2372.6652306332626,2321.2266874307315,2365.673583984375,12903636,4316.515285831512,4392.3656665417475,4314.3789027032435,4364.05517578125,2774696,458.8709770032469,471.55081366201784,458.3717701158346,468.80517578125,86547464.0,624.705497114759,630.6930897388621,623.2085989587332,627.4996948242188,23353423,10275.879971337305,10583.696644277577,10271.88235220821,10495.7490234375,2838541
2023-07-20,2376.161289967517,2408.2879485259896,2369.669046005857,2392.6416015625,7513562,4344.291019324818,4362.272729008461,4293.546074650671,4328.80029296875,5215486,469.2544541124189,476.7924656025146,468.1561929132156,471.5008850097656,41939441.0,627.9986885418591,639.2753096322413,627.898919690639,638.6765747070312,71414605,10481.756632152206,10703.624478484948,10479.757822725785,10689.6328125,1845464
2023-07-21,2404.127628701891,2423.10495522675,2396.137175428266,2415.114501953125,7112760,4333.073705365156,4363.520575735375,4320.78804052127,4360.849609375,2627055,475.6442508095343,477.09196277157076,472.1877371901946,475.0451965332031,20833037.0,638.3772534269526,644.4646156064331,636.2815592192183,640.6724853515625,17482257,10635.666027594012,10791.573178534123,10591.69221579039,10763.58984375,1297138
2023-07-24,2405.6258863713765,2441.582926815375,2390.827648548674,2440.084716796875,25675419,4345.893537317876,4361.918360226061,4246.540513252705,4293.01220703125,5534947,474.2464975449028,483.5816715377781,470.95174459173154,482.9327087402344,26569921.0,633.1880368057085,641.6704612546423,630.6932060854339,641.37109375,35895413,10793.57110244666,10851.536576885726,10700.988551416822,10773.5830078125,1168905
2023-07-25,2437.0879757196576,2440.084395361936,2396.1359318781692,2407.123779296875,8450261,4464.47598564716,4538.499703115741,4455.621214939381,4479.4326171875,5593566,484.62998299089816,484.67992195524585,478.5396535896547,480.2369689941406,21473322.0,643.2670798843368,644.2650120969461,640.7722493528137,642.9677124023438,14752048,10693.631045213386,10767.586998236358,10621.673901731578,10713.619140625,1638957
2023-07-26,2412.1180597437015,2412.1180597437015,2375.162213693798,2393.64013671875,9461932,4484.240408846874,4486.376791986984,4443.644739356392,4469.818359375,4429341,482.0340781529084,482.0340781529084,474.2464641917417,477.84075927734375,23917334.0,642.0695626360618,644.2150801896787,639.0757662188759,642.76806640625,15316016,10735.606560999004,10783.577992290007,10571.704170754745,10663.6494140625,1181359
2023-07-27,2355.186115090617,2378.1586683760643,2328.717738479124,2361.178955078125,18449530,4487.979467053971,4512.016215637929,4466.0791015625,4466.0791015625,3271897,477.84073435506883,481.13548690468303,474.74564623530665,478.9389953613281,41621236.0,643.5665231510966,644.2650269889099,638.0778958548781,640.9718627929688,54254940,10795.571130074475,10795.571130074475,10638.664569491093,10693.6318359375,3990122
2023-07-28,2347.195177161742,2358.681451432959,2323.7232253901243,2338.705322265625,15155389,4469.817674618972,4528.040447130734,4462.873454960019,4512.015625,6791190,475.69419612072,478.9390404858841,471.30115168177997,474.6458435058594,28998293.0,643.6662586646945,653.9449479778608,642.4188434347242,645.4625244140625,14606823,10793.572491352415,11257.296346536445,10789.574871911173,11051.4189453125,6645000
2023-07-31,2335.7095723349667,2374.1636320035136,2318.729857676128,2363.1767578125,10541736,4511.48143652758,4516.834099656774,4477.29541015625,4477.29541015625,2823022,479.2386148583074,483.4818734273654,473.54764411919683,482.2338562011719,27480160.0,648.9552293575518,650.6517261012606,644.2649363281012,644.9635009765625,17771442,11021.437768192383,11197.33303906669,11015.441338503486,11179.34375,1639504
2023-08-01,2360.6797728947117,2385.983527699405,2343.200654627033,2348.694091796875,19028458,4492.252341448378,4500.7988486136255,4456.464025603399,4488.51318359375,1947865,480.28687706168256,494.21475975143517,478.97097468808425,480.98577880859375,41593105.0,656.6394029309921,664.2236634644878,648.5561762858468,653.5458374023438,24505563,11169.347841863166,11247.301414846821,11141.364507971597,11189.3359375,955804
2023-08-02,2350.691881737165,2362.1781603179925,2309.2413981628747,2315.733642578125,10520783,4491.184207274584,4491.184207274584,4443.110225796578,4467.14697265625,3600065,479.7877121166897,483.3210998164653,471.09552840580386,472.8487548828125,31237504.0,650.1527303384677,653.5437136758356,632.7886883112094,635.5829467773438,22469669,11033.428839784607,11133.369318405845,10867.527645273352,11089.3955078125,1371970
2023-08-03,2310.2397674912822,2336.208740234375,2286.26840803612,2336.208740234375,17311576,4428.566261801605,4467.563274133768,4367.666844614617,4403.45849609375,4684715,470.70207834614644,477.0919189453125,464.362146236604,477.0919189453125,40240657.0,637.9780037135149,639.4749019206836,629.196213079914,637.8782348632812,176906451,11011.443452909978,11011.443452909978,10771.586271143922,10893.513671875,4910009
2023-08-04,2346.197036050018,2385.64990234375,2338.2065821171104,2385.64990234375,9238947,4393.308585606099,4398.6505282847575,4355.379865759839,4370.337890625,2265018,480.9857882631574,486.277368556642,477.3914929368437,485.6783447265625,25148934.0,641.5706043931901,642.8679040080079,632.2897866595397,635.0840454101562,15511434,10945.48183933891,10961.47231682516,10777.581825733272,10903.5068359375,1506764
2023-08-07,2378.6583405279393,2383.652374415254,2362.1780286998014,2373.664306640625,7618616,4358.585226488673,4373.114471551575,4330.806246512273,4370.337890625,2117520,484.8796220238027,485.9778832209607,480.33685173862926,482.33367919921875,17649617.0,639.3751336788056,643.5664608446548,634.7846092937541,642.76806640625,20496510,10887.516723386116,10937.486967205585,10797.57028451107,10879.521484375,853789
2023-08-08,2359.6810133421,2369.169677734375,2333.7120371106103,2369.169677734375,10392193,4369.803540110107,4390.637654489589,4346.832843642538,4367.1328125,5121109,479.38837291732,481.83449887897,471.25130666097004,479.2386169433594,30528232.0,638.1776116382679,640.7722108716555,630.0943855651453,633.2877197265625,62033025,10933.489109955803,11093.393886701044,10827.552195362081,11023.435546875,1977417
2023-08-09,2382.1541994600257,2427.1853646716636,2375.661955310554,2425.602294921875,9603429,4375.680293730003,4397.582700040848,4368.2012805104505,4392.77490234375,4646884,484.23067114204133,493.77849018029525,484.23067114204133,491.8685302734375,26026553.0,638.5768968185304,638.5768968185304,632.2898746635414,634.6849365234375,78117236,11103.387579333696,11205.32687124117,10974.107148069834,11175.3447265625,2545313
2023-08-10,2412.8773446532955,2437.4365877047594,2409.0623994767975,2429.85888671875,18028615,4400.787605759849,4423.75830078125,4391.705669044867,4423.75830078125,2294175,487.8816772891126,493.02409977961327,487.63204483352797,490.17828369140625,24406467.0,628.6763208228859,632.4689263987909,623.4864106532658,630.772216796875,59023405,11160.069164457254,11178.059603733649,11036.135027219863,11156.0712890625,2848203
2023-08-11,2417.8713336969845,2418.8702476956196,2388.40337073724,2413.376220703125,14382629,4408.800207635565,4418.416289690069,4353.777369533709,4361.79052734375,4858578,485.08581248981,486.5836073375217,479.9683467601283,485.6849365234375,41378261.0,630.7723297778009,630.7723297778009,622.2888411652831,623.5863037109375,48386496,11060.123460519606,11118.092659933136,10906.205241387126,11024.142578125,2243755
2023-08-14,2406.384047330335,2407.8824184681494,2383.4090232171766,2390.90087890625,8181444,4375.680209935318,4390.103602750402,4349.50415197231,4376.21435546875,1851409,483.5380419586134,484.4367126586253,477.8963548429001,481.0417175292969,19971382.0,622.7878683125502,626.3808508784849,616.4002760657838,620.292724609375,61518364,11076.115624332204,11120.092260992611,10984.164474951356,11108.0986328125,898615
2023-08-15,2392.899097081777,2399.3920397371858,2356.93818391336,2365.428955078125,6966637,4376.214065622655,4376.748211120709,4305.698567209645,4325.99853515625,1872942,482.4896048678019,483.25346430841455,471.5057772199006,473.2532043457031,20487257.0,619.6939323909367,619.6939323909367,597.5370434832827,599.1339111328125,24642980,11120.092852991967,11120.092852991967,10838.24257575453,10870.2255859375,1345290
2023-08-16,2357.4369274037444,2361.432583212903,2335.46082045337,2354.440185546875,13878783,4323.326949377296,4338.818629157709,4303.561130852755,4312.642578125,3560788,470.7568745272255,473.8023781513375,468.2106053178123,472.2546691894531,32815381.0,598.0359996629352,600.4313008465452,587.2569920452185,588.6542358398438,37789214,10878.219469629068,10910.20247431743,10732.297010738417,10872.22265625,1997373
2023-08-17,2352.942200661915,2375.4177682759646,2344.9508877324756,2362.431884765625,7103774,4305.699238910011,4311.041670332204,4277.920741853019,4290.74169921875,2496433,470.15783150582615,475.25034032862146,469.5087931350038,473.8024597167969,17517196.0,591.6483929384427,595.6406223927056,588.6542208477456,591.2492065429688,15492986,10888.214384244406,10890.213322078855,10735.212676180567,10786.2685546875,1467968
2023-08-18,2351.44377131058,2371.422053139897,2328.9682042525988,2357.437255859375,14291269,4269.372928096049,4278.347548402,4233.04713045807,4252.2783203125,4398612,471.30608682087995,474.4015354347969,466.08077843573506,472.75396728515625,24016116.0,586.059385725777,587.9556584566957,578.2745492823402,582.7658081054688,20736904,10736.296218033109,10748.28984627891,10574.382236714791,10652.3408203125,1807434
2023-08-21,2369.923744306305,2396.394968426059,2359.934603129039,2366.927001953125,9140400,4254.949270397735,4288.06970506012,4230.375651290083,4240.52587890625,2571647,474.40152461047563,483.5879806908699,474.1349188544264,477.5968017578125,24233966.0,582.4662751543225,587.5564044519747,580.570002641408,582.1668701171875,28590940,10672.329907221989,10800.261938325604,10634.350085488102,10668.33203125,4598853
2023-08-22,2366.926648343493,2376.4163310441736,2357.9364226270586,2365.927734375,6608153,4229.307822532859,4249.607792179637,4213.2815050325535,4232.51318359375,4585692,476.84795715948974,479.74371834241714,474.1019998446356,477.19744873046875,14469276.0,584.462393975449,585.46045138382,579.4721069335938,579.4721069335938,29208014,10684.32358395699,10762.282165766965,10628.353320093416,10692.3193359375,1105121
2023-08-23,2366.927152349145,2373.9195516175328,2337.5691718689645,2350.445068359375,14352885,4242.662945680573,4297.152132770955,4234.11564134499,4270.97607421875,2641819,475.25026719854344,477.6467326073581,466.6129601103593,470.4573059082031,25396149.0,581.2687000654918,586.0593637807899,579.9711766096744,583.6640014648438,100676534,10706.311076050371,10808.216888139508,10658.33656786792,10764.2802734375,2181058
2023-08-24,2357.93644776577,2371.9212434737647,2350.4445929222015,2363.929931640625,6042374,4278.988264254408,4315.848692985124,4273.64632159613,4293.9462890625,1130874,470.35750848647626,474.5513463561426,468.9595726874925,472.9037780761719,45301426.0,588.3548137168826,591.3489857968668,586.7579463075259,587.95556640625,61134863,10818.251716569768,10840.24003306686,10736.295264171513,10744.291015625,674424
2023-08-25,2378.4142772328937,2388.902874423547,2369.4240510694767,2375.9169921875,5839519,4309.437217968911,4335.61326900162,4300.889916088679,4312.642578125,1751638,475.8494029751605,479.2444289513976,473.35307827070005,474.90081787109375,17348826.0,590.3509667447692,594.1366282841752,585.4604609968152,586.6581420898438,9832360,10700.31541906074,10746.290994371482,10606.36533038227,10654.33984375,1044943
2023-08-29,2394.397223798414,2417.3722493083696,2393.3983096458073,2403.387451171875,12729397,4313.177426119819,4359.119303160854,4313.177426119819,4338.8193359375,5170375,479.5439921998907,488.13135557276587,479.5439921998907,484.9859924316406,60002080.0,593.7442909811404,597.1376491302829,585.7598328656318,594.542724609375,138408401,10844.239248412046,10894.212701169705,10686.323137697844,10798.263671875,2978845
2023-08-30,2419.8692673757287,2423.36546652364,2403.886642699563,2409.880126953125,6195472,4346.298656795088,4357.517176063258,4324.396251579815,4343.62744140625,1654904,488.83032658409456,491.0770189796408,486.78335236834994,488.4808654785156,24266637.0,596.3393297850213,599.6329072055364,589.5525512695312,589.5525512695312,36565404,10818.252010987284,10860.229707260516,10728.2998046875,10728.2998046875,913945
2023-08-31,2418.3712766909534,2432.8555325819157,2408.881591796875,2408.881591796875,26502801,4343.09266045471,4363.926771587876,4318.51953125,4318.51953125,3728108,490.1783207534139,491.6761156001687,486.7833251953125,486.7833251953125,67483521.0,589.8519016570873,591.2492063322161,581.3684140698026,581.9672241210938,45532273,10708.312238410947,10796.265521683315,10655.274003625118,10656.33984375,2367206
2023-09-01,2427.3609621887144,2456.82892448689,2421.367478331458,2441.84521484375,11959563,4305.699150515833,4320.235227093776,4285.933813193719,4304.630859375,1931400,493.5234228206896,501.86115391382197,492.62475196927693,500.06378173828125,51611884.0,584.5623013783328,589.1533416015815,582.1669389647963,587.1572265625,24327245,10672.33004125292,10728.300305563667,10578.379954731308,10694.318359375,759392
2023-09-04,2459.3262094274137,2460.8245803917275,2437.8495589389127,2441.84521484375,7828227,4311.575032779835,4332.943291174826,4296.617495805389,4301.42529296875,925748,504.2576305804982,505.95514370421205,500.9624938964844,500.9624938964844,33755811.0,592.7462884429851,593.8441271685949,582.8654962461503,584.6619873046875,36868212,10738.295547825071,10796.264753127924,10684.32421875,10684.32421875,510722
2023-09-05,2431.357095760872,2491.291946108305,2423.3657823812146,2466.319091796875,11150441,4285.931935622856,4304.628973613383,4258.6875966416965,4267.76904296875,2390129,498.0167608177207,513.5438877378398,496.4690517451166,510.7480163574219,39236536.0,580.0709543791287,592.2472664502453,577.9749973566862,586.3587036132812,20296700,10656.338124577938,10792.265904069835,10632.350869373486,10730.298828125,1302060
2023-09-06,2457.3286111233174,2497.2851739058106,2452.833497810287,2486.297119140625,9303742,4256.017929778857,4263.4969428162585,4197.789725484016,4253.88134765625,2007149,509.0505928977356,517.8876201574616,507.15339195095913,515.1416625976562,31596122.0,585.8596735719228,586.0602718937442,578.3742433303735,584.1629638671875,14699219,10616.358689951443,10654.338508273619,10538.40011550066,10600.3671875,1283468
2023-09-07,2489.2935752960134,2509.7713113688737,2485.2979194769187,2499.28271484375,7117643,4254.415650513523,4307.301913653421,4231.670318345255,4294.48095703125,2328234,513.2443401688047,518.137160785938,512.3456389304168,514.0431518554688,24270501.0,580.3702308260414,590.5504259060468,580.1706072133798,583.5640258789062,23007461,10590.37303171771,10826.247704753327,10580.378342182303,10818.251953125,1042230
2023-09-08,2488.295201868444,2503.2789144449303,2470.3147467766607,2499.78271484375,9916163,4312.108844570023,4323.861507728808,4277.919633783782,4319.0537109375,6640287,512.645138668946,517.2383506089299,511.74643761983884,516.5393676757812,56410630.0,584.0631431279515,586.4584440938374,575.7792797356693,583.2647094726562,37302909,10834.24342067352,10878.220054484373,10792.265724763161,10840.240234375,2242376
2023-09-11,2493.289859312749,2513.7676005450853,2488.295288280472,2507.274658203125,8328401,4325.998012621035,4340.956035976216,4297.151232385841,4325.4638671875,2577769,517.837444011393,520.9329224452189,514.5423084070209,516.5393676757812,27042179.0,581.2685492606992,590.2510642401747,580.7695206507283,588.853759765625,23844895,10840.24016835335,10840.24016835335,10360.495075156816,10496.4228515625,2011900
2023-09-12,2506.7749463952105,2527.252685546875,2496.286348293139,2527.252685546875,6312485,4334.0117798786305,4356.982963578844,4312.109375,4312.109375,2251938,515.7407067609746,522.5306980684513,512.2458520200968,522.0314331054688,39010905.0,592.7462899663392,599.1338205149526,590.0515229133144,596.1396484375,31541932,10552.393085235515,10718.304929538328,10536.401582170185,10678.326171875,1423103
2023-09-13,2530.2494203960173,2549.7282453852486,2515.2657088658393,2518.262451171875,10397897,4308.90380859375,4319.054036187823,4283.796531860427,4308.90380859375,2919785,514.2428716355752,525.2266999617719,506.1547737735605,507.452880859375,63569624.0,601.8287108775637,613.7056202515716,600.7308719241946,609.8131713867188,23549819,10662.335192573475,10684.323510368433,10556.391479561402,10576.380859375,1663183
2023-09-14,2522.7573482876205,2581.6932752521698,2519.2611492304013,2578.696533203125,11669030,4315.314666325406,4351.106317266742,4288.604464494435,4341.49072265625,2738087,511.3470499869029,525.3424948417907,509.2501619335789,523.3294067382812,42108759.0,611.3101990725461,628.4767997032897,608.116402992032,625.6822509765625,29081387,10608.364011640004,10814.2546265258,10560.389499433604,10808.2578125,1797197
2023-09-15,2587.187382661095,2595.6781520636505,2575.2004140927806,2577.1982421875,37465648,4364.9948884499045,4409.333836142572,4356.982219383402,4384.2265625,8485589,526.5247953116124,528.12247969226,519.9345224595452,522.4308471679688,116246149.0,628.1773569391878,630.6725004590978,624.6841560113138,628.0775146484375,77881497,10876.221229968864,11000.155381091465,10828.24671985689,10934.1904296875,4715880
