Date,AUTO.L,AZN.L,SHEL.L,TSCO.L,BARC.L,CCH.L,GSK.L,HSBA.L,REL.L,SMIN.L,SN.L,SBRY.L,NG.L,WEIR.L,PRU.L,NWG.L,UU.L,RKT.L,ADM.L,SVT.L,CTEC.L,AAL.L,BP.L,CNA.L,ULVR.L,MKS.L,HLN.L,IMB.L,STAN.L,AV.L,JD.L,GLEN.L,DGE.L,SSE.L,LLOY.L,LGEN.L,BME.L,RR.L,BEZ.L,RIO.L
2024-01-26,1.2261898262302338,1.4219200571857593,1.8678386526726525,0.9809805561343949,1.0408927931788254,0.9837195618055706,1.1106103944309318,1.6243194756313715,1.7835519050069488,1.0730038765822785,0.7057061245791758,1.2230619890699073,1.1839276350015715,0.8811363240916973,0.6394974305971816,1.312445720289685,1.1610359307907943,0.8347427760419419,0.841068435355988,1.0962993015818743,1.1711389074910996,0.7391596851473196,1.8166372071287973,2.9626726437678483,0.858088337774155,1.9475653085729812,1.0307816966832708,1.250281672140189,1.3086824117419682,1.361926325210149,0.7233184305723728,1.7259827024959224,0.9670556070062011,1.1069607412023785,1.2100952583163709,0.9821147695680075,1.0309180242089147,2.9593023844760062,1.4979614047224568,0.9671938899628002
2024-01-29,1.1911462382144127,1.4248863181411044,1.8851368038796648,0.9776380690270859,1.0290358131475175,0.9820394805244924,1.108153655116004,1.6245825486624734,1.7781076886423697,1.0616682753164557,0.6990003194577877,1.2137562261800738,1.1861969110028199,0.8855007469769435,0.6195271064670752,1.3042429753917653,1.152801717154104,0.836513187808469,0.8320462147095552,1.0915849373317645,1.1691902618890437,0.7418215721734303,1.8327691823314436,2.9723584268926166,0.8586493673405824,1.9429988863603125,1.0400255939750174,1.2415542026510813,1.3009080215885789,1.3544569044211383,0.7254674906057692,1.7351698584576236,0.9645100026856076,1.0916405455781075,1.2152691498374486,0.9755801862512324,1.0228729014416247,2.9457366358691415,1.4869671334374868,0.9722486225020623
2024-01-30,1.219908485501761,1.4273131032298598,1.9020509191451218,0.9763011967018643,1.0480068107790186,0.9790992099851165,1.111188445546649,1.635641275933181,1.7889962543583953,1.0636115506329114,0.7018743473836251,1.2110973206820181,1.187331410328548,0.8898652290849713,0.621166396568863,1.331194992195004,1.1610359307907943,0.8391688054582594,0.8353878323747069,1.0971566110882047,1.177959315849867,0.7405689051199629,1.8441798560247125,2.9659009094657502,0.8652699367017532,1.938432464147644,1.0398634776729607,1.233150078156856,1.3026354879139044,1.3451201046478194,0.731300633472765,1.7192452968522074,0.9707894143600548,1.0939223615576998,1.2363955076024742,0.9851898572252596,1.0155940421870049,2.975775480605175,1.4814699977950017,0.9607447396294065
2024-01-31,1.2047007421815514,1.415717863211843,1.8812926867738793,0.9579183343963446,1.0351734387287115,0.9778390207268186,1.1330104711394715,1.6277420010262105,1.7759298957070444,1.0509803797468353,0.7092187560337151,1.1973600034783847,1.1969752786342687,0.8823486144297255,0.609839990942334,1.3194767084470265,1.170917094500436,0.8421194686492989,0.8404000954841269,1.1134423490783294,1.174061875894183,0.7424478813301578,1.8195881107513496,2.979891375531409,0.8633619951874831,1.8821137989447665,1.042782561435592,1.2273318442022487,1.2931336314351898,1.3454313344785374,0.718713268461389,1.7167954218459573,0.9709591931963724,1.098485754616628,1.2225987563031004,0.9801928471305962,0.9933742741108333,2.9186048428926923,1.496587036875849,0.9591760941947589
2024-02-01,1.2086681331403646,1.4062796044792174,1.9266528928531268,0.945551499652407,1.0185737092895282,0.9786792153243448,1.1461614651189813,1.6093111109071787,1.7906295990598893,1.056162341772152,0.7005969843028819,1.1840660177925884,1.1924371426564604,0.8791964818825074,0.6007490140049792,1.2919387237307245,1.1665254512759267,0.839463920259025,0.8350537032858533,1.1112995990841956,1.1623700766576355,0.735401586506893,1.832179049702502,2.94437782343832,0.8652699367017532,1.8394940518955862,1.0565673987384638,1.2153721103362827,1.2896783029398264,1.3189771794603915,0.7058187208402597,1.7398658678471486,0.9860640355674636,1.0890328696491718,1.2167065492960607,0.9644328244811521,0.9830305950294408,2.8953490203414507,1.5213239793950581,0.9563871733679243
2024-02-02,1.2099903613178726,1.3968416092268685,1.9001288605922289,0.9719561063996816,1.0512150472799755,0.9803592966054229,1.1642260260208646,1.6169465077860121,1.8009738495289505,1.0529236550632912,0.7005969843028819,1.2195169623406603,1.1805241370243875,0.8789540830376833,0.6067102633585556,1.2942824162974296,1.1604869921604828,0.8430046745325623,0.8266998225112816,1.101013665831984,1.1487294086916735,0.7185687358946404,1.8048329914439787,2.8959508798766014,0.8674020644206135,1.8334055663863187,1.0541348619471247,1.209553718305413,1.2849272427522318,1.3267577349318995,0.6938453462068899,1.7051582661897424,0.9967564528813551,1.087729031684704,1.2162752086962831,0.9744270210313916,0.973453238016695,3.0058143253412086,1.511704075956696,0.9427917916619288
2024-02-05,1.20403982992888,1.3968416092268685,1.899744260997139,0.9686138234885425,1.0160629108752304,0.9765790367445035,1.201366891789043,1.6303756293265574,1.797162578905264,1.0467699367088608,0.712092627936213,1.2075521585016504,1.1878987293288599,0.8532522249702909,0.6093928414950318,1.2726034839123423,1.1522527785237926,0.8506763434216514,0.8360560905524143,1.0945849968322288,1.152626774271571,0.7085472532468646,1.7869301373988198,2.880884653921996,0.8792963424728354,1.8334055663863187,1.067270936944087,1.216665016087026,1.2827677778973376,1.3252015857783095,0.6573109976528362,1.671675602035461,1.0128796365090684,1.0945742407232244,1.2040593442986138,0.9582827079536185,0.9688558911645824,3.001938059153283,1.5144526437779386,0.9323338713023721
2024-02-06,1.2080068172155278,1.4203020248064047,1.9135827068089442,0.9689479905208054,1.0203872826404061,0.961877786685615,1.194430013522882,1.6640781182002908,1.7895405696053595,1.056162341772152,0.7133699910169562,1.2212896111564044,1.175985723696787,0.8886529387469431,0.6327909169958474,1.28900915279373,1.1517039740754977,0.8548071887776866,0.8313779565318479,1.0868706778359933,1.160421282304007,0.7134796450011464,1.8845101547480936,2.8668941878563374,0.8884977196283842,1.8646091998231096,1.0687304788254026,1.2234529688737563,1.295293096290084,1.3367169943666544,0.6800298598739389,1.6761672473606923,1.0086366585269035,1.0883809108502285,1.2037719302771788,0.9667392137078048,0.9757517357748209,3.0794574676574227,1.5295698507307594,0.9401772689527538
2024-02-07,1.2013949699016988,1.4143693711555758,1.899744260997139,0.9358587158531678,1.0071354264357792,0.9404561088644225,1.2085926631742856,1.6514395037483078,1.7797409003569966,1.0545429588607595,0.7108154208788092,1.1472854850443677,1.1748512243710592,0.8774992161864864,0.618632944092758,1.2731895413681795,1.1467633922206768,0.8548071887776866,0.8317121673148553,1.0860133683296627,1.163344325082877,0.6868602385999061,1.8673942644471122,2.909940359911198,0.8755934755456026,1.8341665399539002,1.0675953676133223,1.207614359679298,1.2823357793677688,1.3224006124500687,0.6591531093524172,1.6430928125819433,0.997944490033974,1.0776242675517231,1.195149070498883,0.9382944324270812,0.9577461242384503,3.1288758687567726,1.5281954828841513,0.9373885186030626
2024-02-08,1.1908158325470977,1.3244376244038594,1.9055102487713058,0.9371957923745595,0.9984870024402878,0.9144139765847845,1.192984753294812,1.626425669874258,1.797162578905264,1.0477415348101267,0.7034710122287193,1.1495010590245867,1.149323186768529,0.8741046255716627,0.6096909107887251,1.2626430143607805,1.1259030533587537,0.8506763434216514,0.8457465693765543,1.0701561803383648,1.1428834718855065,0.6809882368904964,1.8738865650379242,2.87012278223126,0.9031975044568032,1.8037238800846909,1.0476478330833916,1.2014727016916769,1.251238482650687,1.3093292450045757,0.6416534464754918,1.6202269800215736,0.9931923414234981,1.027100446886819,1.1932806597919312,0.9275315374462423,0.9575545876382712,3.078488844754519,1.541938321990364,0.9345997682533713
2024-02-09,1.1782529492540694,1.3160781856642754,1.912430035330743,0.9375298573087374,0.9923492703474739,0.9202944150255451,1.1994880270047965,1.6048346833938614,1.8238397444417973,1.0464461234177216,0.6977230343887142,1.1344344245230462,1.132077646015825,0.8733772513688458,0.5946386844977938,1.234519151274189,1.116021889649112,0.8483157713131099,0.8467490383372691,1.058155942336508,1.1643187222596911,0.6665042162060151,1.882542805507111,2.8711988707972274,0.8989334541299745,1.8098124817553944,1.0361335153023628,1.216988123967515,1.239145030839272,1.297502511437292,0.6385833071647111,1.5722488064527673,0.9841972148308573,1.0150400452572645,1.1899750691939925,0.8987022893762773,0.9443376838862618,3.0823645194170073,1.5556809932246032,0.9314622216683609
