eps,min_samples,Number of Clusters,Noise Points,Noise Percentage,Silhouette Score,Smallest Cluster,Largest Cluster,Singleton Clusters
13.134980231259217,5,1,5,5.1020408163265305,,93,93,0
13.784816380897572,5,1,4,4.081632653061225,,94,94,0
14.434652530535926,5,1,4,4.081632653061225,,94,94,0
15.084488680174282,5,1,4,4.081632653061225,,94,94,0
15.734324829812635,5,1,4,4.081632653061225,,94,94,0
16.38416097945099,5,1,4,4.081632653061225,,94,94,0
17.033997129089343,5,1,2,2.0408163265306123,,96,96,0
17.6838332787277,5,1,2,2.0408163265306123,,96,96,0
18.333669428366054,5,1,2,2.0408163265306123,,96,96,0
2.7376018370455397,6,3,63,64.28571428571429,0.44051032042791705,6,15,0
3.3874379866838944,6,1,41,41.83673469387755,,57,57,0
4.0372741363222495,6,1,37,37.755102040816325,,61,61,0
4.687110285960604,6,1,28,28.57142857142857,,70,70,0
5.336946435598959,6,1,23,23.46938775510204,,75,75,0
5.9867825852373135,6,1,19,19.387755102040817,,79,79,0
6.636618734875668,6,1,16,16.3265306122449,,82,82,0
7.286454884514024,6,1,16,16.3265306122449,,82,82,0
7.936291034152378,6,1,15,15.306122448979592,,83,83,0
8.586127183790733,6,1,14,14.285714285714285,,84,84,0
9.235963333429087,6,1,11,11.224489795918368,,87,87,0
9.885799483067442,6,1,10,10.204081632653061,,88,88,0
10.535635632705798,6,1,9,9.183673469387756,,89,89,0
11.185471782344152,6,1,7,7.142857142857142,,91,91,0
11.835307931982507,6,1,7,7.142857142857142,,91,91,0
12.485144081620861,6,1,5,5.1020408163265305,,93,93,0
13.134980231259217,6,1,5,5.1020408163265305,,93,93,0
13.784816380897572,6,1,4,4.081632653061225,,94,94,0
14.434652530535926,6,1,4,4.081632653061225,,94,94,0
15.084488680174282,6,1,4,4.081632653061225,,94,94,0
15.734324829812635,6,1,4,4.081632653061225,,94,94,0
16.38416097945099,6,1,4,4.081632653061225,,94,94,0
17.033997129089343,6,1,3,3.061224489795918,,95,95,0
17.6838332787277,6,1,3,3.061224489795918,,95,95,0
18.333669428366054,6,1,3,3.061224489795918,,95,95,0
2.7376018370455397,8,2,78,79.59183673469387,0.6233806758748587,8,12,0
3.3874379866838944,8,3,48,48.97959183673469,0.30662535232859756,5,26,0
4.0372741363222495,8,1,39,39.795918367346935,,59,59,0
4.687110285960604,8,1,34,34.69387755102041,,64,64,0
5.336946435598959,8,1,28,28.57142857142857,,70,70,0
5.9867825852373135,8,1,24,24.489795918367346,,74,74,0
6.636618734875668,8,1,21,21.428571428571427,,77,77,0
7.286454884514024,8,2,16,16.3265306122449,0.45201494938198344,4,78,0
7.936291034152378,8,1,16,16.3265306122449,,82,82,0
8.586127183790733,8,1,15,15.306122448979592,,83,83,0
9.235963333429087,8,1,13,13.26530612244898,,85,85,0
9.885799483067442,8,1,10,10.204081632653061,,88,88,0
10.535635632705798,8,1,9,9.183673469387756,,89,89,0
11.185471782344152,8,1,8,8.16326530612245,,90,90,0
11.835307931982507,8,1,8,8.16326530612245,,90,90,0
12.485144081620861,8,1,7,7.142857142857142,,91,91,0
13.134980231259217,8,1,6,6.122448979591836,,92,92,0
13.784816380897572,8,1,5,5.1020408163265305,,93,93,0
14.434652530535926,8,1,4,4.081632653061225,,94,94,0
15.084488680174282,8,1,4,4.081632653061225,,94,94,0
15.734324829812635,8,1,4,4.081632653061225,,94,94,0
16.38416097945099,8,1,4,4.081632653061225,,94,94,0
17.033997129089343,8,1,3,3.061224489795918,,95,95,0
17.6838332787277,8,1,3,3.061224489795918,,95,95,0
18.333669428366054,8,1,3,3.061224489795918,,95,95,0
2.7376018370455397,10,0,98,100.0,,0,0,0
3.3874379866838944,10,2,64,65.3061224489796,0.514982293746309,15,19,0
4.0372741363222495,10,1,43,43.87755102040816,,55,55,0
4.687110285960604,10,1,36,36.734693877551024,,62,62,0
5.336946435598959,10,1,32,32.6530612244898,,66,66,0
5.9867825852373135,10,1,30,30.612244897959183,,68,68,0
6.636618734875668,10,1,24,24.489795918367346,,74,74,0
7.286454884514024,10,1,21,21.428571428571427,,77,77,0
