min_samples_3,min_samples_4,min_samples_5,min_samples_6,min_samples_8,min_samples_10
2.6868092645732715,3.270118913249523,3.6129356464579443,3.878434401053125,4.199406615914926,4.7373885285617465
2.694807734324873,3.2702458041219136,3.6558959300554106,3.8925116312264962,4.199406615914926,4.760061305895482
2.725257700557446,3.271753663705413,3.6925071892570824,3.9207214595639144,4.290192899015933,4.776290113870241
2.7290621098111343,3.271753663705413,3.7496834219548565,3.959426340719644,4.313563301950576,4.8378616258800955
2.7497021419358534,3.3798743689316706,3.7615878953831716,4.045490786623146,4.4417023797649176,4.993197718793098
2.772422204009671,3.4492045782722776,3.9486140017012223,4.184354480222231,4.559206723829472,5.016735008557059
2.7774793885234805,3.5462763012324747,3.9918894939857132,4.199812621089913,4.584051728486976,5.228850478765333
2.7774793885234805,3.5707757072068422,4.010503230762109,4.241416747848952,4.722193185193211,5.275063487834808
2.8509314428210226,3.6921307252003635,4.094074645850662,4.363205960690467,4.849299352633664,5.426581581116282
2.8509314428210226,3.7095812958634284,4.153104018484755,4.522646996656122,4.895278375797125,5.544482422871991
2.88471625763937,3.7496834219548565,4.16817677876731,4.540290724580812,4.970130443989441,5.757669361061464
2.917490755725797,3.9486140017012223,4.17730085639682,4.550186317084369,5.131635880372066,5.817441386533202
2.917490755725797,3.9636069756563117,4.373448161335505,4.662763844238576,5.396422693144852,5.908516018221876
2.9227195786277305,4.094074645850662,4.384201102950745,4.936724946035048,5.596758812883058,5.9316471440790695
3.1635564184634126,4.184354480222231,4.550186317084369,4.995753130086927,5.655462780311724,6.0024756038917975
3.2200008360132704,4.184504690947515,4.733466359676017,5.012441100360979,5.693335024496644,6.019737651301659
3.2302193166616853,4.186486706750554,4.8842036506124025,5.154813532710147,5.725222132096006,6.464485207677383
3.350968399502234,4.3797530182828055,5.012441100360979,5.161081023451903,5.880163947369982,6.529195223463167
3.350968399502234,4.7231196017120265,5.107115866747286,5.341752469279253,6.0554871538030195,6.529195223463167
3.443649872978624,4.776290113870241,5.166791995679433,5.431788559529411,6.283788230903163,6.626774306359794
3.4492045782722776,4.779623176433479,5.250964202284047,5.438634096772145,6.3437544641036965,6.696850388331038
3.7095812958634284,4.973831772813243,5.302734550223447,5.454381641039577,6.386802823010961,6.921638784882598
4.128676456276629,5.102852363230013,5.302734550223447,5.725222132096006,6.417187734400612,7.039926782115087
4.17730085639682,5.1504116910651065,5.516867623881588,5.846826241979477,6.471054088744926,7.300618920365444
4.247005035397276,5.161081023451903,5.659034386242039,5.918826792203433,6.51230096052785,7.359106919473514
4.371415516589932,5.481295307429625,5.659034386242039,6.105452860728273,6.626774306359794,7.390730206868681
4.662763844238576,5.4872559139784585,5.793661708456588,6.173735020251819,6.970346464980013,7.408446225096734
4.709849790203125,5.54055696449995,5.964202909379175,6.203081910996215,7.076498937260365,7.57830970895741
5.1504116910651065,5.693335024496644,6.007462000773256,6.281384598396913,7.126802881275033,8.101377588279615
5.206183426246746,5.880163947369982,6.073723837497738,6.302581741480184,7.739008757169616,8.445030405824362
5.407096932917659,5.8952684239692745,6.105452860728273,6.530134416584416,8.09271662879304,8.449958154877017
5.438634096772145,5.918826792203433,6.273001891182261,6.535393983630665,8.258761817393498,8.486076716164503
5.481295307429625,5.964202909379175,6.283788230903163,7.039926782115087,8.390564294280102,9.181450564960938
5.4872559139784585,6.055773849079418,6.607617825067582,7.490601381307755,8.823801675911575,9.682485497561379
5.751377250208922,6.073723837497738,6.970346464980013,7.617562399207531,9.181450564960938,9.868704258035162
5.850555307111051,6.607617825067582,7.106023508728693,7.63880901173794,9.340896192258903,10.001430599937127
5.850555307111051,6.839411013033446,7.248593175748467,8.746022984178065,9.734632703349565,10.725731336678383
6.173735020251819,8.101377588279615,8.606460849316957,9.42173869919917,9.942323065638732,11.253550800553352
7.248593175748467,8.606460849316957,9.561860290525576,10.31379725954383,11.252179411760046,11.298280879713854
7.803706174876948,9.199969657582063,9.832391768376397,10.42215929304314,11.959591195568452,12.565791474426664
8.338574442737219,9.25124124735335,9.850328149830014,10.602325694131824,12.085773220730312,13.590408428601018
9.036090691299648,9.759812607282644,10.995746407263992,11.077932787445103,12.577665166323602,13.626378078505834
9.07651051938455,10.937751265862742,11.725951474076622,12.041733272090116,12.709291029149535,13.630950508878701
10.418070066045686,11.661999857376255,11.789726582817789,12.36802477353478,13.437486146171992,13.846053588247905
10.725731336678383,12.152667548650971,13.417275486804781,13.486321448902585,13.82372876295366,14.402223638585811
10.956716648814023,13.146998435385656,14.054675274785232,15.744839019109468,17.390435047596274,18.372028269463765
11.959591195568452,13.626378078505834,15.332286068995463,16.755855620261297,17.65843267467313,19.029743193928358
12.27490466845682,16.42922736912055,16.76219415089701,18.46776063365359,20.616402099568617,23.079294433354843
12.730775975367383,17.302470370889818,18.262431580616255,19.3261267913039,20.814665197472582,23.450782245048416
14.3218038343658,18.262431580616255,18.46776063365359,19.69431586311604,21.5531829883954,24.521369192250912
21.058614672389638,25.068360090314183,26.60028111731179,28.117917124445643,29.678349009196232,30.844595659921797
39.672306247520496,44.772394904412764,46.05423430796426,53.13093339915751,57.296550630227394,58.95379628305472
95.89992067407067,95.90238931780664,97.8203261313747,97.99683220294331,108.04131825214516,112.41821235111954
